File  	Rouge-1	Rouge-2	Rouge-3	Rouge-4	Rouge-5
92675	0.47945	0.11111	0.00000	0.00000	0.00000	
93075	0.36000	0.11864	0.03509	0.00000	0.00000	
93142	0.25714	0.02564	0.00000	0.00000	0.00000	
94177	0.24510	0.09554	0.01875	0.00637	0.00000	
94576	0.37736	0.11594	0.05797	0.02985	0.01587	
94649	0.48780	0.16667	0.04255	0.00000	0.00000	
95429	0.30769	0.07143	0.00000	0.00000	0.00000	
95465	0.40000	0.00000	0.00000	0.00000	0.00000	
95759	0.37778	0.13115	0.01471	0.00000	0.00000	
96215	0.43750	0.11765	0.00000	0.00000	0.00000	
96790	0.20175	0.03727	0.01250	0.00662	0.00000	
96885	0.25664	0.06164	0.00680	0.00000	0.00000	
98089	0.56250	0.16667	0.00000	0.00000	0.00000	
98250	0.28571	0.00000	0.00000	0.00000	0.00000	
98392	0.30137	0.07778	0.01176	0.00000	0.00000	
98745	0.43023	0.19672	0.09231	0.03125	0.00800	
Average	0.39925	0.13439	0.04960	0.02131	0.01068	
Total time taken= 610.98 seconds
